产品代码,产品类型,计算模式,周期,最大回撤,贝塔,回撤修复,年化波动率,下行风险,防守能力,同类平均最大回撤,同类平均贝塔,同类平均回撤修复,同类平均年化波动率,同类平均下行风险,同类平均防守能力,沪深300最大回撤,沪深300贝塔,沪深300回撤修复,沪深300年化波动率,沪深300下行风险,沪深300防守能力,最大回撤排名,贝塔排名,回撤修复排名,年化波动率排名,下行风险排名,防守能力排名
1912325957497303042,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912325957497303042,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912325957497303042,1,自然日,今年以来,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,18/104名,2/104名,--,73/104名,2/104名,73/104名
1912325957497303042,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911977913211858946,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911977913211858946,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911977913211858946,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911977913211858946,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911977913211858946,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911977913211858946,1,自然日,成立以来,--,--,--,--,--,--,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910232631830818817,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910232631830818817,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910232631830818817,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910232631830818817,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910232631830818817,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910232631830818817,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911674300157571074,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911674300157571074,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911674300157571074,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911674300157571074,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911674300157571074,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911674300157571074,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911665586964967426,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911665586964967426,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911665586964967426,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911665586964967426,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911665586964967426,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911665586964967426,1,自然日,成立以来,--,--,--,--,--,--,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911618394594127873,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911618394594127873,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911618394594127873,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911618394594127873,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911618394594127873,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911618394594127873,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912328360195960833,1,自然日,近 1 年,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,7/92名,1/92名,--,69/92名,1/92名,77/92名
1912328360195960833,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912328360195960833,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912328360195960833,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912328360195960833,1,自然日,今年以来,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,18/104名,2/104名,--,73/104名,2/104名,73/104名
1912328360195960833,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912782034592509953,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912782034592509953,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912782034592509953,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912782034592509953,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912782034592509953,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912782034592509953,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1719243598643675138,1,自然日,近 1 年,-0.00%,0.00%,--,0.03%,--,100.00%,-1.71%,0.25%,--,1.77%,--,97.97%,-17.31%,100.00%,13天,14.31%,8.99%,100.00%,3/13名,3/13名,--,2/13名,--,1/13名
1719243598643675138,1,自然日,近 2 年,--,--,--,--,--,--,--,--,--,--,--,--,-31.66%,100.00%,7天,16.97%,13.47%,100.00%,--,--,--,--,--,--
1719243598643675138,1,自然日,近 3 年,--,--,--,--,--,--,--,--,--,--,--,--,-40.18%,100.00%,9天,17.53%,14.30%,100.00%,--,--,--,--,--,--
1719243598643675138,1,自然日,近 5 年,--,--,--,--,--,--,--,--,--,--,--,--,-40.18%,100.00%,73天,19.13%,16.34%,100.00%,--,--,--,--,--,--
1719243598643675138,1,自然日,今年以来,-0.00%,0.00%,--,0.04%,--,100.00%,-1.71%,0.32%,--,1.93%,--,97.58%,-17.31%,100.00%,--,13.40%,9.13%,100.00%,3/13名,3/13名,--,2/13名,--,1/13名
1719243598643675138,1,自然日,成立以来,-13.03%,12.16%,35天,8.17%,21.05%,90.25%,-9.15%,9.03%,35天,5.38%,11.92%,92.46%,-46.70%,100.00%,979天,22.72%,21.29%,100.00%,2/8名,3/8名,1/8名,5/8名,4/8名,3/8名
1774004032690630657,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1774004032690630657,1,自然日,近 2 年,-0.00%,0.00%,--,0.00%,--,100.00%,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,5/87名,1/87名,--,1/87名,--,1/87名
1774004032690630657,1,自然日,近 3 年,-0.00%,0.00%,--,0.00%,--,100.00%,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,6/87名,1/87名,--,1/87名,--,1/87名
1774004032690630657,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1774004032690630657,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1774004032690630657,1,自然日,成立以来,-19.71%,17.21%,--,6.68%,11.40%,83.03%,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,3/20名,5/20名,--,4/20名,4/20名,5/20名
1910241804190658561,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910241804190658561,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910241804190658561,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910241804190658561,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910241804190658561,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910241804190658561,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910147156185100290,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910147156185100290,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910147156185100290,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910147156185100290,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910147156185100290,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910147156185100290,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911618733263204354,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911618733263204354,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911618733263204354,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911618733263204354,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911618733263204354,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911618733263204354,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911678933970104321,1,自然日,近 1 年,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,7/92名,4/92名,--,69/92名,1/92名,70/92名
1911678933970104321,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911678933970104321,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911678933970104321,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911678933970104321,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,18/104名,76/104名,--,73/104名,2/104名,76/104名
1911678933970104321,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910575672944930817,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910575672944930817,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910575672944930817,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910575672944930817,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910575672944930817,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910575672944930817,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1910602670228549633,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1910602670228549633,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1910602670228549633,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1910602670228549633,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1910602670228549633,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1910602670228549633,1,自然日,成立以来,--,--,--,--,--,--,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911618300566220801,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911618300566220801,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911618300566220801,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911618300566220801,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911618300566220801,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911618300566220801,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911660842427002882,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1911660842427002882,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911660842427002882,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911660842427002882,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911660842427002882,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1911660842427002882,1,自然日,成立以来,--,--,--,--,--,--,-22.37%,22.09%,765天,16.53%,16.71%,80.15%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912791105156591618,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912791105156591618,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912791105156591618,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912791105156591618,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912791105156591618,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912791105156591618,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1912331410243497985,1,自然日,近 1 年,-0.00%,0.00%,--,0.00%,--,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,18/92名,11/92名,--,1/92名,--,1/92名
1912331410243497985,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1912331410243497985,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1912331410243497985,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1912331410243497985,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,--,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,29/104名,5/104名,--,1/104名,--,1/104名
1912331410243497985,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
1911683419023257601,1,自然日,近 1 年,-0.00%,-0.00%,--,0.00%,0.00%,100.00%,-1.54%,6.02%,28天,3.79%,15.16%,95.82%,-7.78%,100.00%,23天,14.20%,11.23%,100.00%,7/92名,4/92名,--,69/92名,1/92名,70/92名
1911683419023257601,1,自然日,近 2 年,--,--,--,--,--,--,-6.23%,5.66%,28天,10.74%,51.16%,94.95%,-15.66%,100.00%,112天,18.38%,16.10%,100.00%,--,--,--,--,--,--
1911683419023257601,1,自然日,近 3 年,--,--,--,--,--,--,-8.46%,5.83%,28天,11.74%,51.16%,95.63%,-23.19%,100.00%,208天,17.08%,14.00%,100.00%,--,--,--,--,--,--
1911683419023257601,1,自然日,近 5 年,--,--,--,--,--,--,-50.77%,64.58%,592天,74.44%,35.19%,56.05%,-40.86%,100.00%,5天,17.30%,14.27%,100.00%,--,--,--,--,--,--
1911683419023257601,1,自然日,今年以来,-0.00%,0.00%,--,0.00%,0.00%,100.00%,-1.79%,12.66%,12天,3.71%,9.71%,87.02%,-7.78%,100.00%,--,16.53%,12.63%,100.00%,18/104名,76/104名,--,73/104名,2/104名,76/104名
1911683419023257601,1,自然日,成立以来,--,--,--,--,--,--,-20.60%,20.34%,729天,15.14%,16.21%,81.97%,-46.70%,100.00%,979天,22.09%,20.62%,100.00%,--,--,--,--,--,--
